Movie ID,Sentence No,Movie Title,Utterance,Speaker,Emotion,Dialogue ID,Utterance ID,Start Time,End Time,start_seconds,end_seconds,split,split1
1,1.0,kae,"Jack, wo kyɛ oo menua. Wa kyɛ",Speaker one man,Neutral,1.0,1,00m:55s:00ms,00m:57s:00ms,55.0,57.0,train,train
1,2.0,kae,"Oh bra, Yen na ɔmo twen ye oo. Yen na ye kɔ gye aware no na wo se sɛn.",Speaker two man,Joy,1.0,2,00m:58s:00ms,01m:04s:00ms,58.0,64.0,train,train
1,3.0,kae,Mmaa no deɛ wo kyɛ a na ɔmo adwa.,Speaker one man,Joy,1.0,3,01m:07s:00ms,01m:08s:00ms,67.0,68.0,train,train
1,4.0,kae,"Ooh Masa, ɔmon gye ɔmo ani oo.",Speaker two man,Neutral,1.0,4,01m:09s:00ms,01m:10s:00ms,69.0,70.0,train,train
1,5.0,kae,Yen ye sika na ye de kɔ kyere sɛ yen ye guys.,Speaker two man,Neutral,1.0,5,01m:11s:00ms,01m:13s:00ms,71.0,73.0,train,train
1,6.0,kae,sisie league no wayi wo ho afri mu oo,Speaker one man,Sadness,1.0,6,01m:15s:00ms,01m:16s:00ms,75.0,76.0,train,train
1,7.0,kae,oh ɛdeɛn,Speaker two man,Neutral,1.0,7,01m:17s:00ms,01m:17s:00ms,77.0,77.0,train,train
1,8.0,kae,Aane sisie Jack league no gyae ma yen oo na yen bɔ ye league.,Speaker one man,Neutral,1.0,8,01m:18s:00ms,01m:21s:00ms,78.0,81.0,train,train
1,9.0,kae,Sisie mengyae koraa na mo mapo me yi,Speaker two man,Surprise,1.0,9,01m:21s:00ms,01m:23s:00ms,81.0,83.0,train,train
1,10.0,kae,"ɛnnɛ ɛnnɛ, by ɛ hours time kɛn your freedom and rights have been seized",Speaker one man,Joy,1.0,10,01m:23s:00ms,01m:30s:00ms,83.0,90.0,train,train
1,11.0,kae,"Masa, aware enye adwaman aduro oo.",Speaker two man,,1.0,11,01m:32s:00ms,01m:37s:00ms,92.0,97.0,train,train
1,12.0,kae,Wopɛ sɛ wo twe me ka wedding no ho anaa.,Speaker 3 Woman,Joy,2.0,1,01m:41s:00ms,01m:43s:00ms,101.0,103.0,train,train
1,13.0,kae,"Wow, oh, oh Lest I forget this.",Speaker 3 Woman,Neutral,2.0,2,01m:47s:00ms,01m:50s:00ms,107.0,110.0,train,train
1,14.0,kae,"Me pa wokyew wahu saa adeɛ wei a ekura me, I know today is your day ɛna wo bɛ ye busy a lot will be on your mind",Speaker 3 Woman,Neutral,2.0,3,01m:51s:00ms,01m:58s:00ms,111.0,118.0,train,train
1,15.0,kae,"No, ɛnnɛ ruled off from my mind",Speaker 4 Woman,Joy,2.0,4,01m:58s:00ms,02m:00s:00ms,118.0,120.0,train,train
1,16.0,kae,Ruled off on your mind,Speaker 3 Woman,Joy,2.0,5,02m:01s:00ms,02m:02s:00ms,121.0,122.0,train,train
1,17.0,kae,Me pa wokyew ɛduru mmreɛ wo to saa adeɛ wei no just look at my direction and throw it to me.,Speaker 3 Woman,Neutral,2.0,6,02m:03s:00ms,02m:09s:00ms,123.0,129.0,train,train
1,18.0,kae,oh my,Speaker 4 Woman,Joy,2.0,7,02m:09s:00ms,02m:10s:00ms,129.0,130.0,train,train
1,19.0,kae,I want to grab it,Speaker 3 Woman,Neutral,2.0,8,02m:10s:00ms,02m:11s:00ms,130.0,131.0,train,train
1,20.0,kae,But you are not dating? You don't have a boyfriend.,Speaker 4 Woman,Surprise,2.0,9,02m:12s:00ms,02m:15s:00ms,132.0,135.0,train,train
1,21.0,kae,Who knows? Hwɛ. whoever said that.,Speaker 3 Woman,Surprise,2.0,10,02m:13s:00ms,02m:16s:00ms,133.0,136.0,train,train
1,22.0,kae,"Listen, obi eyie ase koraa obi shia ne dɔ na ennyɛ wedding ase na menhyia me dɔfo who knows obi bɛ pepa nani akyere me.",Speaker 3 Woman,Joy,2.0,11,02m:17s:00ms,02m:23s:00ms,137.0,143.0,train,train
1,23.0,kae,It true,Speaker 4 Woman,Neutral,2.0,12,02m:24s:00ms,02m:24s:00ms,144.0,144.0,train,train
1,24.0,kae,Yeah so please do me this favour. To ma me,Speaker 3 Woman,Neutral,2.0,13,02m:25s:00ms,02m:27s:00ms,145.0,147.0,train,train
1,25.0,kae,I'll throw it direct to you my dear,Speaker 4 Woman,Joy,2.0,14,02m:28s:00ms,02m:30s:00ms,148.0,150.0,train,train
1,26.0,kae,"Next year na me toa so, won tease",Speaker 3 Woman,Neutral,2.0,15,02m:32s:00ms,02m:34s:00ms,152.0,154.0,train,train
1,27.0,kae,"Wo ho aye fɛ, I'm so proud of you",Speaker 3 Woman,Joy,2.0,16,02m:35s:00ms,02m:36s:00ms,155.0,156.0,train,train
1,28.0,kae,Thank You,Speaker 4 Woman,Neutral,2.0,17,02m:36s:00ms,02m:36s:00ms,156.0,156.0,train,train
1,29.0,kae,Joe,Speaker one man,Neutral,3.0,1,02m:38s:00ms,02m:38s:00ms,158.0,158.0,train,train
1,30.0,kae,Menua,Speaker two man,Neutral,3.0,2,02m:38s:00ms,02m:38s:00ms,158.0,158.0,train,train
1,31.0,kae,Entry points nyinaa w'ablocke blocke deɛ,Speaker one man,Neutral,3.0,3,02m:39s:00ms,02m:41s:00ms,159.0,161.0,train,train
1,32.0,kae,"Ah hwɛ, na wo kaase deɛn nti na me ka se Yaw mmra",Speaker two man,Neutral,3.0,4,02m:41s:00ms,02m:44s:00ms,161.0,164.0,train,train
1,33.0,kae,"Me se ɔnfa boys ne bɛ yesɛ six bi mmrɛ me, Jack against Mufti nkoaa oo",Speaker two man,Neutral,3.0,4,02m:45s:00ms,02m:49s:00ms,165.0,169.0,train,train
1,34.0,kae,Saaaa,Speaker one man,Surprise,3.0,5,02m:49s:00ms,02m:49s:00ms,169.0,169.0,train,train
1,35.0,kae,Against Mufti oo,Speaker two man,Surprise,3.0,6,02m:50s:00ms,02m:51s:00ms,170.0,171.0,train,train
1,36.0,kae,Waa wo bɛ sore biaa.. ɛha na ye tia wonanso na wo te hɔ.,Speaker one man,Joy,3.0,7,02m:52s:00ms,02m:54s:00ms,172.0,174.0,train,train
1,37.0,kae,Wo sore koraa ɛnnyɛ yie. Ye gyina wo nanso,Speaker one man,Joy,3.0,7,02m:55s:00ms,02m:57s:00ms,175.0,177.0,train,train
1,38.0,kae,ɛnka m'awu,Speaker two man,Joy,3.0,8,02m:58s:00ms,02m:59s:00ms,178.0,179.0,train,train
1,39.0,kae,"Jack, commotion si ho deɛ death ma wo oo.",Speaker one man,Joy,3.0,9,02m:59s:00ms,03m:01s:00ms,179.0,181.0,train,train
1,40.0,kae,"No lie, No lie",Speaker two man,Neutral,3.0,10,03m:02s:00ms,03m:03s:00ms,182.0,183.0,train,train
1,41.0,kae,Boys no koraaa na ɛfrefre no oo wonua,Speaker two man,Neutral,3.0,11,03m:05s:00ms,03m:07s:00ms,185.0,187.0,train,train
1,42.0,kae,ɛye Asem oo,Speaker two man,Neutral,3.0,12,03m:08s:00ms,03m:08s:00ms,188.0,188.0,train,train
1,43.0,kae,"Yen ye wild oo jack, asoredem ho deɛ ye bɛ kyɛ oo",Speaker two man,Neutral,3.0,13,03m:11s:00ms,03m:14s:00ms,191.0,194.0,train,train
1,44.0,kae,Wo Wɔfa na ne ho yera no yi,Speaker 3 Woman,Neutral,4.0,1,03m:17s:00ms,03m:18s:00ms,197.0,198.0,train,train
1,45.0,kae,I'm not picking it,Speaker 4 Woman,Joy,4.0,2,03m:20s:00ms,03m:20s:00ms,200.0,200.0,train,train
1,46.0,kae,"No no, we're not picking. Until he sees us.",Speaker 3 Woman,Joy,4.0,3,03m:20s:00ms,03m:23s:00ms,200.0,203.0,train,train
1,47.0,kae,Yeah,Speaker 4 Woman,Joy,4.0,4,03m:24s:00ms,03m:24s:00ms,204.0,204.0,train,train
1,48.0,kae,Oh wow,Speaker 4 Woman,Surprise,4.0,5,03m:25s:00ms,03m:26s:00ms,205.0,206.0,train,train
1,49.0,kae,ɛbaa ne sɛn?,Speaker one man,Fear,5.0,1,04m:54s:00ms,04m:54s:00ms,294.0,294.0,train,train
1,50.0,kae,Me kakyerɛ wo sɛ me hu bibia na me boa,Speaker two man,Fear,5.0,2,04m:56s:00ms,04m:59s:00ms,296.0,299.0,train,train
1,51.0,kae,"Nea me huu yaa ne sɛ bibi abɔ car no, ɛnoa no no.",Speaker two man,Fear,5.0,3,04m:59s:00ms,05m:03s:00ms,299.0,303.0,train,train
1,52.0,kae,Mani te ye na me wɔ hospital,Speaker two man,Sadness,5.0,3,05m:04s:00ms,05m:05s:00ms,304.0,305.0,train,train
1,53.0,kae,Aww ɛna etumi a resulte sei,Speaker 3 Woman,Surprise,5.0,4,05m:06s:00ms,05m:08s:00ms,306.0,308.0,train,train
1,54.0,kae,Enti sesei Lina condition te sɛn?,Speaker one man,Sadness,5.0,5,05m:08s:00ms,05m:10s:00ms,308.0,310.0,train,train
1,55.0,kae,"ɔmo run tests bebree but report bia enya mma ye, Doctor ne se me ma ne reste kakra.",Speaker two man,Sadness,5.0,6,05m:11s:00ms,05m:16s:00ms,311.0,316.0,train,train
1,56.0,kae,"I don’t know, today of all days. Wedding day? Ah ɛyɛ me wanwan paa sɛ asem wei etumi asi wedding day.",Speaker 3 Woman,Surprise,5.0,7,05m:17s:00ms,05m:25s:00ms,317.0,325.0,train,train
1,57.0,kae,"Me kakyerɛ wo, me kakyerɛ wo sɛ Jack sɛ deɛ wasi aye dɛ no ma men kɔ dropi mo",Speaker one man,Sadness,5.0,8,05m:26s:00ms,05m:31s:00ms,326.0,331.0,train,train
1,58.0,kae,"Yeah, sɛ wo kaa ye. Mekae",Speaker 3 Woman,Neutral,5.0,9,05m:31s:00ms,05m:33s:00ms,331.0,333.0,train,train
